DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"130070 BOCA DO ACRE";-;-;1;-;2;1;4;2;-;1;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"130080 BORBA";-;-;-;-;-;2;-;-;-;-;1;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130100 CARAUARI";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;6
"130110 CAREIRO";-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"130120 COARI";-;-;-;-;-;-;-;-;-;-;-;-;3;5;8;3;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"130130 CODAJAS";1;-;-;-;2;1;2;3;3;2;-;1;3;1;-;4;5;-;5;-;-;-;-;-;-;-;-;-;2;-;-;1;-;36
"130140 EIRUNEPE";1;3;4;3;12;12;11;21;13;14;10;13;21;16;9;1;4;4;4;1;8;2;4;7;10;7;4;11;40;35;19;37;3;364
"130150 ENVIRA";34;37;36;40;25;20;7;5;10;6;3;2;2;2;8;6;5;3;12;6;14;8;5;10;4;1;6;-;1;1;-;2;-;321
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130165 GUAJARA";36;25;28;20;22;10;8;3;12;7;5;4;5;5;4;1;5;6;3;7;4;7;4;3;5;3;3;3;2;5;5;-;-;260
"130170 HUMAITA";-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130180 IPIXUNA";6;14;17;19;18;15;7;13;15;22;20;17;5;5;2;4;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;201
"130185 IRANDUBA";-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130210 JAPURA";1;2;1;1;2;-;1;7;3;1;3;5;2;1;1;2;2;-;3;2;1;3;1;2;3;-;-;-;-;-;-;1;-;51
"130230 JUTAI";14;12;4;7;13;16;22;21;11;17;26;15;11;24;8;11;5;9;4;1;7;4;9;2;4;7;2;2;-;2;3;1;-;294
"130240 LABREA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130260 MANAUS";12;20;17;19;17;24;27;21;13;19;15;18;9;12;11;5;11;19;30;20;21;7;6;2;10;4;13;11;9;10;13;11;1;457
