state,year,week,T2M,T2M_MAX,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
MT,2017,22,24.616666666666667,31.291428571428572,69.55619047619048,1.1300000000000001,14.023809523809522
MT,2017,23,24.330000000000002,31.494761904761905,66.86761904761904,1.0866666666666667,15.86
MT,2017,24,25.44238095238095,33.35666666666667,60.61571428571428,0.05,18.32095238095238
MT,2017,25,23.26095238095238,31.320476190476192,55.66190476190476,0.03666666666666667,16.583333333333332
MT,2017,26,24.464285714285715,31.967142857142857,48.95285714285715,0.0,17.033809523809524
MT,2017,27,24.413333333333334,32.5452380952381,46.86666666666667,0.0,19.03952380952381
MT,2017,28,24.70190476190476,33.50333333333334,44.52238095238095,0.0,19.856666666666666
MT,2017,29,21.57952380952381,29.970000000000002,43.65428571428572,0.07,18.325238095238095
MT,2017,30,24.835238095238093,33.967619047619046,38.7447619047619,0.0,20.87095238095238
MT,2017,31,25.49047619047619,33.90238095238095,40.656190476190474,0.0,20.617142857142856
MT,2017,32,28.72142857142857,37.41619047619048,37.01,11.29,19.50857142857143
MT,2017,33,27.692857142857143,35.07,57.879047619047626,18.156666666666666,15.531428571428572
MT,2017,34,27.147142857142857,35.53809523809524,48.02285714285714,1.3466666666666667,20.647142857142857
MT,2017,35,29.933333333333334,38.96666666666666,31.656666666666666,0.0,22.48857142857143
MT,2017,36,30.114761904761902,38.65428571428571,28.230476190476192,0.21,22.255238095238095
MT,2017,37,29.814285714285713,38.11714285714286,37.37,5.88,21.46190476190476
MT,2017,38,30.744285714285716,39.00523809523809,31.138571428571428,0.6766666666666666,22.191904761904762
MT,2017,39,29.606666666666666,35.99619047619048,50.35285714285714,7.483333333333333,15.518095238095238
MT,2017,40,26.822857142857142,34.36952380952381,62.142857142857146,47.75666666666667,17.713809523809523
MT,2017,41,30.002857142857145,37.50285714285714,53.32142857142857,10.603333333333333,21.41904761904762
MT,2017,42,31.14095238095238,38.4,50.25142857142857,22.049999999999997,18.64095238095238
MT,2017,43,29.17047619047619,35.58857142857143,61.37380952380953,16.683333333333334,17.45809523809524
MT,2017,44,28.509999999999998,34.08095238095238,68.13761904761905,24.55666666666667,21.17095238095238
MT,2017,45,27.645714285714284,32.16285714285714,72.60761904761905,61.879999999999995,19.566190476190478
MT,2017,46,27.372857142857146,32.862857142857145,71.3,45.78666666666667,21.43095238095238
MT,2017,47,27.23190476190476,32.12238095238095,77.73714285714286,29.79,20.733809523809523
MT,2017,48,27.425714285714285,32.09904761904762,75.91238095238096,58.723333333333336,17.631904761904764
MT,2017,49,26.33047619047619,29.975238095238097,82.39,70.04666666666667,15.842857142857143
MT,2017,50,26.75047619047619,31.41857142857143,79.50999999999999,45.49666666666666,21.171428571428574
MT,2017,51,26.713809523809523,31.82190476190476,76.4252380952381,24.923333333333332,20.685714285714287
MT,2017,52,27.029583333333335,31.737916666666667,75.465,28.25,20.768333333333334
MT,2018,1,25.557916666666667,29.931666666666665,81.78,82.9,15.870833333333334
MT,2018,2,25.102857142857143,29.309523809523807,81.17333333333333,34.95,19.232380952380954
MT,2018,3,27.08857142857143,31.465238095238096,73.85190476190476,16.85333333333333,24.720476190476194
MT,2018,4,27.199047619047622,31.53,76.27380952380952,43.05,21.934761904761903
MT,2018,5,26.45,30.285714285714285,82.84,49.300000000000004,16.718095238095238
MT,2018,6,26.355238095238096,30.53,82.54238095238095,64.92666666666666,20.066666666666666
MT,2018,7,26.095238095238095,30.086666666666666,81.44190476190477,41.166666666666664,20.59142857142857
MT,2018,8,25.175238095238093,28.97,85.33142857142857,85.53,16.52904761904762
MT,2018,9,26.755238095238095,31.050952380952378,79.08190476190475,9.356666666666667,23.654761904761905
MT,2018,10,26.076666666666664,29.76095238095238,84.31238095238095,75.79333333333334,20.564285714285713
MT,2018,11,26.27285714285714,30.093333333333334,84.25904761904762,33.27333333333333,20.283333333333335
MT,2018,12,25.904761904761905,29.555714285714284,84.43999999999998,31.046666666666667,18.384761904761906
MT,2018,13,24.380952380952383,28.688095238095237,85.42285714285715,56.21666666666667,13.681904761904763
MT,2018,14,25.552857142857142,29.55,83.75761904761904,34.486666666666665,18.223333333333333
MT,2018,15,25.171428571428574,29.956190476190475,81.79619047619049,5.876666666666667,20.154761904761905
MT,2018,16,23.92047619047619,28.292380952380956,83.5904761904762,17.063333333333333,14.603809523809522
MT,2018,17,25.39761904761905,31.218095238095238,74.20238095238095,1.6666666666666667,21.196666666666665
MT,2018,18,25.5,31.305714285714284,72.6952380952381,4.28,18.986666666666668
MT,2018,19,25.086666666666666,30.86952380952381,73.39380952380952,3.14,18.21952380952381
MT,2018,20,23.297619047619044,28.44333333333333,76.4347619047619,13.713333333333333,15.70190476190476
MT,2018,21,21.077142857142857,28.815714285714282,66.15190476190476,0.32333333333333336,20.204761904761906
MT,2018,22,23.13714285714286,30.07333333333333,70.27904761904762,0.5700000000000001,15.638095238095238
MT,2018,23,22.343333333333334,29.735714285714288,73.80857142857143,0.33666666666666667,12.514285714285714
MT,2018,24,22.240952380952383,28.72952380952381,71.59619047619047,4.04,13.557619047619047
MT,2018,25,23.745714285714286,31.46857142857143,61.034285714285716,0.51,18.145238095238096
MT,2018,26,24.023333333333337,32.86571428571428,56.78857142857142,0.013333333333333334,19.382857142857144
MT,2018,27,24.696190476190477,33.23,51.79190476190477,0.0,19.333333333333336
MT,2018,28,22.622380952380954,30.713809523809523,53.72190476190476,0.12,15.263333333333334
MT,2018,29,25.348095238095237,34.021904761904764,48.570952380952384,0.0,18.68095238095238
MT,2018,30,24.96190476190476,33.674285714285716,45.16190476190476,0.0,20.361428571428572
MT,2018,31,27.49952380952381,34.99761904761905,44.544285714285714,0.7266666666666668,17.361428571428572
MT,2018,32,25.93619047619048,34.208571428571425,44.38047619047619,0.15333333333333332,18.016666666666666
MT,2018,33,27.405238095238097,35.78523809523809,38.05571428571428,1.2866666666666666,19.04952380952381
MT,2018,34,25.363809523809525,32.635714285714286,46.773333333333326,8.32,16.767619047619046
MT,2018,35,28.10333333333333,36.097142857142856,42.36142857142857,0.51,19.898571428571426
MT,2018,36,25.676190476190474,35.18714285714286,32.878571428571426,0.0,25.074285714285715
MT,2018,37,30.26571428571429,38.08523809523809,39.06809523809524,14.543333333333333,19.49809523809524
MT,2018,38,28.59714285714286,34.943333333333335,60.30142857142857,6.74,18.31714285714286
MT,2018,39,29.336666666666666,35.71523809523809,58.37761904761904,20.5,17.60952380952381
MT,2018,40,29.3,35.69428571428571,61.719523809523814,14.33,19.511428571428574
MT,2018,41,29.397142857142857,35.85857142857143,62.92857142857143,19.246666666666666,19.181428571428572
MT,2018,42,28.32,33.61142857142857,69.9052380952381,30.549999999999997,18.135238095238094
MT,2018,43,27.633809523809525,32.808571428571426,73.76857142857143,35.516666666666666,18.525238095238098
MT,2018,44,27.49238095238095,32.229523809523805,74.50571428571428,45.790000000000006,18.778571428571432
MT,2018,45,26.53904761904762,31.036666666666665,80.71809523809523,83.22,18.927142857142858
MT,2018,46,26.946666666666665,30.956190476190475,80.99142857142859,63.486666666666665,20.88809523809524
MT,2018,47,25.663333333333334,29.713809523809523,83.54619047619049,47.69,15.844761904761905
MT,2018,48,25.37761904761905,28.99809523809524,86.58428571428571,84.57000000000001,17.043333333333333
MT,2018,49,26.17761904761905,31.17095238095238,78.25238095238095,14.756666666666668,23.851428571428574
MT,2018,50,26.645238095238096,31.82190476190476,76.62523809523809,15.950000000000001,24.881904761904764
MT,2018,51,27.42761904761905,32.76238095238095,72.32380952380952,36.38666666666667,24.37095238095238
MT,2018,52,26.327619047619045,30.514761904761905,79.21285714285715,33.39666666666667,16.85047619047619
MT,2019,1,27.04375,31.738333333333333,76.69708333333334,31.476666666666667,21.06875
MT,2019,2,26.386190476190478,31.347619047619048,76.15238095238094,36.6,21.800952380952378
MT,2019,3,26.85333333333333,31.986666666666668,74.0352380952381,19.34,22.282857142857143
MT,2019,4,28.109999999999996,33.126666666666665,72.01047619047618,35.95333333333333,22.21047619047619
MT,2019,5,26.836190476190474,31.736190476190476,72.5552380952381,16.103333333333335,20.826190476190476
MT,2019,6,28.04047619047619,33.1152380952381,71.27714285714286,14.7,22.087619047619047
MT,2019,7,26.60904761904762,31.29952380952381,79.89095238095238,53.92333333333333,18.534285714285716
MT,2019,8,26.40952380952381,31.175714285714285,80.75238095238095,62.03333333333333,18.95904761904762
MT,2019,9,25.82952380952381,29.939523809523813,83.0952380952381,46.800000000000004,18.347619047619048
MT,2019,10,26.38047619047619,31.029523809523806,80.43333333333332,19.363333333333333,21.451428571428572
MT,2019,11,26.40380952380952,30.88047619047619,80.19285714285715,48.019999999999996,20.683809523809522
MT,2019,12,26.28952380952381,30.483809523809523,82.67904761904762,34.73,19.64095238095238
MT,2019,13,26.535714285714285,30.77190476190476,82.7247619047619,39.14333333333333,19.47809523809524
MT,2019,14,25.291904761904764,29.303333333333335,83.05333333333331,39.57333333333334,15.804761904761904
MT,2019,15,25.199047619047615,29.570476190476192,83.49761904761905,57.58666666666667,15.472857142857142
MT,2019,16,26.573809523809523,30.88714285714286,80.53,21.95,17.862857142857145
MT,2019,17,26.080000000000002,30.509047619047617,80.43714285714285,19.05,17.984761904761903
MT,2019,18,26.004761904761903,30.405714285714286,82.39666666666666,31.656666666666663,15.274285714285714
MT,2019,19,26.25142857142857,31.361428571428572,77.98333333333333,17.38,17.120476190476193
MT,2019,20,22.449047619047622,28.763333333333332,73.34095238095237,0.9766666666666667,15.942380952380953
MT,2019,21,23.25,30.024761904761906,67.82095238095238,0.77,18.16142857142857
MT,2019,22,26.287142857142857,32.92047619047619,67.31333333333333,0.08333333333333333,17.828095238095237
MT,2019,23,23.86952380952381,31.005238095238095,65.29523809523809,0.08666666666666667,15.13095238095238
MT,2019,24,25.256666666666664,32.95428571428572,59.136190476190485,0.02,17.891428571428573
MT,2019,25,24.602857142857143,32.72571428571429,55.61333333333334,0.01666666666666667,18.865238095238094
MT,2019,26,25.133333333333333,33.59333333333333,56.48047619047619,0.31,18.01857142857143
MT,2019,27,22.87857142857143,30.349047619047617,52.80904761904761,1.2,16.711428571428574
MT,2019,28,24.634761904761906,33.40904761904762,45.49714285714286,0.11666666666666668,18.938095238095237
MT,2019,29,26.345238095238095,33.96714285714286,47.12,0.07,17.45380952380952
MT,2019,30,24.63,32.70142857142857,47.57142857142857,0.08,18.653333333333332
MT,2019,31,24.704761904761906,32.40761904761904,41.04666666666667,0.23333333333333334,19.485714285714288
MT,2019,32,26.40380952380952,35.43380952380952,39.33,0.8666666666666666,21.22
MT,2019,33,28.024285714285718,36.23761904761905,36.94904761904762,0.7833333333333332,19.77047619047619
MT,2019,34,29.024761904761906,36.375238095238096,42.187619047619044,1.3333333333333333,17.173809523809524
MT,2019,35,29.89047619047619,37.23857142857143,38.779999999999994,1.4233333333333331,17.14
MT,2019,36,31.25095238095238,39.73142857142857,32.9352380952381,0.03,22.07190476190476
MT,2019,37,31.58142857142857,40.23857142857143,29.842857142857145,0.0,21.195238095238096
MT,2019,38,32.97857142857143,40.839999999999996,32.13142857142857,0.5633333333333334,18.412857142857142
MT,2019,39,30.163333333333334,36.49904761904762,55.85142857142858,15.603333333333333,16.874761904761904
MT,2019,40,29.181904761904757,35.51238095238095,59.42761904761905,16.346666666666664,18.55761904761905
MT,2019,41,28.547619047619047,35.38857142857143,59.59571428571429,9.966666666666667,17.83809523809524
MT,2019,42,30.643809523809523,37.91047619047619,53.43,14.036666666666665,21.654285714285713
MT,2019,43,28.933809523809522,34.976190476190474,64.04666666666667,21.81,21.458095238095236
MT,2019,44,30.15952380952381,37.02095238095238,58.49714285714286,34.71333333333333,22.18285714285714
