DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"140028 IRACEMA";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"140045 PACARAIMA";-;-;-;-;-;-;1;-;-;-;2;-;-;5;2;1;2;1;-;-;14
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;2;-;8
"140050 SAO JOAO DA BALIZA";-;-;1;-;-;1;1;-;-;2;-;-;-;-;1;-;-;-;1;-;7
"140060 SAO LUIZ";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"140070 UIRAMUTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150010 ABAETETUBA";4;4;4;4;5;15;10;5;4;4;3;4;3;1;-;1;-;-;3;-;74
"150013 ABEL FIGUEIREDO";-;-;-;-;2;1;1;1;1;-;-;1;1;-;2;-;-;-;-;-;10
"150020 ACARA";-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;4
"150030 AFUA";-;1;-;-;-;-;1;9;7;12;16;1;-;-;-;-;-;-;-;-;47
"150034 AGUA AZUL DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150040 ALENQUER";-;-;-;-;1;1;1;1;-;-;-;1;-;1;1;-;-;-;-;-;7
"150050 ALMEIRIM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3
"150060 ALTAMIRA";-;-;-;1;6;4;9;13;10;19;13;21;29;7;10;2;-;-;11;2;157
"150070 ANAJAS";-;3;1;8;3;2;2;4;1;-;4;1;1;-;-;1;-;-;-;-;31
"150080 ANANINDEUA";-;1;-;2;-;3;2;1;2;2;1;1;-;2;-;-;-;-;-;-;17
"150085 ANAPU";6;33;34;18;8;4;2;2;1;-;1;1;3;7;3;7;10;8;-;-;148
"150090 AUGUSTO CORREA";-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"150095 AURORA DO PARA";1;5;1;-;-;3;2;1;-;1;-;2;-;3;1;2;12;-;-;-;34
"150100 AVEIRO";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150120 BAIAO";1;-;-;1;-;2;-;-;2;2;1;1;-;1;1;2;4;-;-;-;18
"150125 BANNACH";-;1;2;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;7
"150130 BARCARENA";5;3;7;12;14;10;18;12;7;8;16;8;4;4;3;6;4;2;1;-;144
"150140 BELEM";13;16;27;33;31;31;44;33;28;36;33;28;27;20;13;5;9;-;1;-;428
"150145 BELTERRA";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150150 BENEVIDES";1;-;-;-;-;1;1;-;-;-;1;-;1;-;-;1;-;-;-;-;6
"150157 BOM JESUS DO TOCANTINS";-;1;-;2;-;3;1;-;-;-;2;-;1;-;-;1;1;3;-;-;15
"150160 BONITO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150170 BRAGANCA";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150172 BRASIL NOVO";-;-;-;-;3;2;2;2;1;5;5;8;6;8;3;-;2;6;3;1;57
"150175 BREJO GRANDE DO ARAGUAIA";-;-;1;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;5
