DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"412730 TERRA RICA";-;6;7;7;9;10;6;2;4;3;6;5;2;17;16;7;21;7;5;2;142
"412740 TERRA ROXA";1;-;-;-;-;-;2;1;2;4;2;2;3;2;2;1;2;-;-;-;24
"412750 TIBAGI";-;-;-;-;-;-;-;-;1;1;-;4;2;4;-;2;-;-;-;-;14
"412760 TIJUCAS DO SUL";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;3
"412770 TOLEDO";-;-;1;5;3;19;22;28;32;59;82;83;101;110;102;56;69;60;76;80;988
"412780 TOMAZINA";1;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;4
"412788 TUNAS DO PARANA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"412795 TUPASSI";1;1;1;-;-;-;1;-;1;-;1;-;2;-;-;-;-;-;-;-;8
"412796 TURVO";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4
"412800 UBIRATA";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;5
"412810 UMUARAMA";4;4;2;7;7;4;16;18;18;27;40;25;38;34;21;18;17;8;2;3;313
"412820 UNIAO DA VITORIA";-;-;-;1;-;-;-;1;-;-;1;1;-;1;-;2;-;-;-;-;7
"412830 UNIFLOR";-;-;-;-;-;-;1;2;2;1;5;1;4;1;5;3;-;-;1;-;26
"412840 URAI";-;6;1;2;5;1;5;5;4;7;2;1;2;3;2;1;-;1;5;3;56
"412850 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;-;-;-;-;-;7
"412853 VENTANIA";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"412855 VERA CRUZ DO OESTE";-;-;-;-;1;-;1;2;1;2;2;3;4;3;4;1;2;3;1;-;30
"412860 VERE";-;-;-;1;1;1;-;-;-;1;-;1;1;1;-;1;1;-;1;-;10
"412862 ALTO PARAISO";-;-;-;-;-;-;-;-;-;1;4;2;3;9;3;3;6;6;3;1;41
"412870 VITORINO";-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;1;1;7
"412880 XAMBRE";1;-;1;-;2;1;-;1;-;2;1;-;-;1;1;2;3;6;3;6;31
"420010 ABELARDO LUZ";-;-;-;-;-;-;-;-;1;-;3;2;-;-;1;-;1;1;-;-;9
"420020 AGROLANDIA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"420050 AGUAS DE CHAPECO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420060 AGUAS MORNAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420080 ANCHIETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"420125 APIUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420130 ARAQUARI";-;1;2;2;1;-;2;8;2;-;7;11;11;9;21;12;14;12;3;-;118
"420140 ARARANGUA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"420170 ASCURRA";-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;5
"420200 BALNEARIO CAMBORIU";4;-;-;4;2;1;4;2;5;7;11;15;13;18;23;23;17;1;1;-;151
"420205 BALNEARIO BARRA DO SUL";2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4;1;5;4;-;18
"420208 BANDEIRANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"420210 BARRA VELHA";-;2;-;2;1;5;-;1;3;5;8;9;14;31;23;28;24;22;11;18;207
"420215 BELMONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"420220 BENEDITO NOVO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"420230 BIGUACU";-;-;-;-;-;-;-;-;1;1;1;2;5;4;5;2;2;-;-;-;23
"420240 BLUMENAU";-;5;2;4;1;-;1;2;9;11;19;16;18;21;25;27;36;29;17;1;244
"420245 BOMBINHAS";1;-;1;-;1;-;1;3;3;2;5;7;8;7;16;6;16;8;9;-;94
"420253 BOM JESUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420280 BRACO DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"420290 BRUSQUE";-;-;-;1;1;1;-;-;-;-;-;2;3;4;5;2;3;3;1;-;26
"420300 CACADOR";-;-;-;-;-;4;2;-;6;12;22;18;19;25;13;6;4;4;7;-;142
"420310 CAIBI";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;3
"420320 CAMBORIU";-;-;-;-;-;1;-;1;1;-;1;3;1;9;5;10;4;-;-;-;36
"420350 CAMPO ERE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420360 CAMPOS NOVOS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;4
"420380 CANOINHAS";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;3
"420390 CAPINZAL";-;-;-;-;-;-;1;-;1;3;2;-;5;2;5;5;4;9;5;2;44
"420400 CATANDUVAS";-;-;-;-;-;-;-;-;-;-;-;8;21;19;16;3;5;-;1;-;73
"420410 CAXAMBU DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420420 CHAPECO";4;3;1;1;5;7;8;19;2;10;47;68;84;118;73;42;33;15;8;-;548
"420430 CONCORDIA";-;-;-;-;-;1;-;-;2;1;11;19;12;18;14;10;8;7;3;-;106
"420435 CORDILHEIRA ALTA";1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;5
"420450 CORUPA";1;-;-;-;-;-;-;-;1;-;1;2;1;3;1;1;4;2;-;-;17
"420470 CUNHA PORA";-;-;-;-;-;-;-;3;-;1;6;9;6;10;12;12;13;10;1;-;83
"420490 DESCANSO";-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;2;6;4;-;-;16
"420500 DIONISIO CERQUEIRA";1;-;-;2;-;1;1;1;-;-;-;2;3;-;-;-;-;-;1;-;12
"420510 DONA EMMA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420530 FAXINAL DOS GUEDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"420535 FLOR DO SERTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420540 FLORIANOPOLIS";10;4;-;1;2;4;2;-;4;-;4;3;4;12;8;5;4;4;3;-;74
"420550 FRAIBURGO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420570 GAROPABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"420580 GARUVA";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4
"420590 GASPAR";1;-;-;1;-;-;-;-;-;2;-;-;2;1;1;1;2;1;-;-;12
"420600 GOVERNADOR CELSO RAMOS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420630 GUABIRUBA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420650 GUARAMIRIM";-;-;-;3;-;-;-;-;-;1;1;2;1;1;-;-;-;-;-;-;9
"420660 GUARUJA DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"420665 GUATAMBU";-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;-;-;-;-;-;5
"420670 HERVAL D'OESTE";-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;-;-;2;-;-;8
"420690 IBIRAMA";-;-;-;-;-;-;-;1;-;-;1;-;-;1;2;-;-;-;-;-;5
"420710 ILHOTA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;3
"420730 IMBITUBA";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
"420750 INDAIAL";-;-;-;-;2;-;-;1;-;1;-;2;-;1;1;2;1;-;2;-;13
"420765 IPORA DO OESTE";-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;1;-;-;-;5
"420768 IPUACU";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3
"420770 IPUMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420780 IRANI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420800 ITA";-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;1;-;-;-;5
"420810 ITAIOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"420820 ITAJAI";19;40;54;27;15;15;18;28;35;57;82;98;91;142;222;167;81;12;35;-;1238
"420830 ITAPEMA";2;3;3;2;2;7;14;15;28;39;71;47;45;25;15;23;28;4;1;-;374
"420840 ITAPIRANGA";1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;1;-;-;7
"420845 ITAPOA";2;1;-;-;-;-;1;-;1;4;7;-;-;-;2;-;1;1;1;-;21
"420850 ITUPORANGA";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;4
"420860 JABORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;4
"420880 JAGUARUNA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420890 JARAGUA DO SUL";4;5;3;3;10;4;4;3;1;4;6;5;4;7;7;7;9;12;5;1;104
"420895 JARDINOPOLIS";-;-;-;-;-;-;-;-;-;1;4;4;11;16;16;11;12;8;3;1;87
"420900 JOACABA";1;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;1;1;-;-;7
"420910 JOINVILLE";1;7;6;17;10;17;16;20;28;33;58;57;51;88;73;59;71;64;34;1;711
"420945 LAJEADO GRANDE";-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420950 LAURENTINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420985 LINDOIA DO SUL";-;-;-;-;-;-;-;1;1;-;2;4;1;-;1;-;-;-;-;-;10
"420990 LONTRAS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421010 MAFRA";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421020 MAJOR GERCINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;-;6
"421050 MARAVILHA";-;-;1;-;-;-;-;-;1;-;5;2;2;1;5;3;2;5;4;-;31
"421090 MODELO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421100 MONDAI";-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"421105 MONTE CARLO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"421130 NAVEGANTES";1;-;-;1;1;-;-;-;2;1;-;-;-;1;1;1;-;1;3;-;13
"421150 NOVA TRENTO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"421165 NOVO HORIZONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421180 OURO";-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;1;-;-;5
"421190 PALHOCA";7;6;4;5;4;3;3;4;5;10;13;8;12;40;43;19;31;4;11;2;234
"421200 PALMA SOLA";-;-;-;-;-;-;-;-;2;2;2;4;6;3;3;4;3;1;-;-;30
"421210 PALMITOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;4
"421220 PAPANDUVA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"421223 PARAISO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;-;5
"421225 PASSO DE TORRES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421227 PASSOS MAIA";-;-;1;-;-;-;-;-;-;-;-;1;1;2;1;-;-;-;-;-;6
"421250 PENHA";-;-;1;-;-;-;2;3;-;-;1;6;3;5;2;3;3;5;6;1;41
"421270 PETROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421280 BALNEARIO PICARRAS";1;1;-;-;1;-;-;2;2;1;4;1;6;8;15;10;23;12;4;-;91
"421290 PINHALZINHO";-;-;-;-;-;-;1;-;-;1;1;2;8;17;10;5;10;22;8;-;85
"421310 PIRATUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421315 PLANALTO ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;4
"421320 POMERODE";-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"421340 PONTE SERRADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421350 PORTO BELO";-;-;-;-;-;-;1;-;-;1;-;-;1;-;2;1;2;-;2;-;10
"421360 PORTO UNIAO";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"421370 POUSO REDONDO";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"421420 QUILOMBO";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;4
"421460 RIO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421470 RIO DOS CEDROS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421480 RIO DO SUL";-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;2;2;3;1;1;14
"421510 RODEIO";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421520 ROMELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421555 SANTA HELENA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"421570 SANTO AMARO DA IMPERATRIZ";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;1;-;-;-;6
"421580 SAO BENTO DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"421600 SAO CARLOS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421620 SAO FRANCISCO DO SUL";1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
"421630 SAO JOAO BATISTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;3
"421660 SAO JOSE";6;9;11;13;11;12;13;12;15;25;21;18;22;31;23;27;24;23;12;6;334
"421670 SAO JOSE DO CEDRO";-;-;-;-;-;-;-;1;-;1;3;10;13;12;15;12;10;14;5;3;99
"421690 SAO LOURENCO DO OESTE";1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;5
"421700 SAO LUDGERO";1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;4
"421710 SAO MARTINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421720 SAO MIGUEL DO OESTE";-;-;2;1;3;10;5;19;21;36;66;61;60;102;65;39;30;26;9;-;555
"421730 SAUDADES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;1;-;6
"421740 SCHROEDER";1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;2;-;-;6
"421750 SEARA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;4
"421770 SOMBRIO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421800 TIJUCAS";1;-;1;2;2;1;-;2;1;3;5;1;6;15;12;10;13;17;11;-;103
"421820 TIMBO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;3
"421870 TUBARAO";-;-;-;-;-;-;2;-;-;-;-;-;3;2;1;1;-;-;-;-;9
"421930 VIDEIRA";-;-;-;-;1;-;3;3;2;11;12;27;44;41;41;37;25;17;9;1;274
"421950 XANXERE";-;-;-;-;-;-;1;2;2;1;7;5;3;3;7;7;1;3;2;-;44
"421970 XAXIM";-;-;-;-;-;-;-;-;-;-;1;-;4;3;-;1;1;1;1;-;12
"430010 AGUDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"430050 ALPESTRE";-;-;-;-;-;-;-;-;-;-;5;4;10;7;10;13;8;1;-;-;58
"430060 ALVORADA";-;1;1;2;2;-;3;8;14;17;35;43;133;235;281;300;411;334;126;12;1958
"430064 AMETISTA DO SUL";-;-;-;-;1;-;-;2;6;-;4;3;1;11;12;4;5;5;2;-;56
"430085 ARAMBARE";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"430087 ARARICA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"430090 ARATIBA";-;-;-;-;-;-;-;-;3;7;21;13;14;11;8;5;3;4;-;-;89
"430100 ARROIO DO MEIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3;6
"430105 ARROIO DO SAL";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430110 ARROIO DOS RATOS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;6
"430120 ARROIO DO TIGRE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"430140 ARVOREZINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"430150 AUGUSTO PESTANA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430155 AUREA";-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;-;-;-;-;-;6
"430160 BAGE";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;4
"430163 BALNEARIO PINHAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"430210 BENTO GONCALVES";-;-;-;1;1;1;-;2;-;2;2;2;2;5;4;3;4;1;1;1;32
"430220 BOA VISTA DO BURICA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"430240 BOM RETIRO DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;4
"430260 BRAGA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"430270 BUTIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;4
"430280 CACAPAVA DO SUL";-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;1;5;3;4;4;21
"430300 CACHOEIRA DO SUL";1;-;1;-;-;-;17;16;18;18;25;47;40;78;74;152;251;131;134;122;1125
"430310 CACHOEIRINHA";-;-;-;-;-;1;-;-;2;3;8;5;14;18;16;22;21;12;12;-;134
"430320 CACIQUE DOBLE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"430340 CAICARA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"430360 CAMBARA DO SUL";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"430370 CAMPINA DAS MISSOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430380 CAMPINAS DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;4
"430390 CAMPO BOM";-;-;-;-;-;-;-;1;1;-;-;1;3;6;9;17;15;7;10;5;75
"430420 CANDELARIA";-;-;1;-;-;-;-;-;-;-;-;2;7;21;19;26;29;17;17;5;144
"430430 CANDIDO GODOI";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3
"430435 CANDIOTA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"430440 CANELA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4
"430460 CANOAS";2;1;3;1;1;-;3;3;4;6;7;8;22;24;25;50;39;38;9;-;246
"430461 CANUDOS DO VALE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"430463 CAPAO DA CANOA";-;-;1;1;-;1;1;-;-;-;1;1;2;12;17;8;13;25;18;6;107
"430468 CAPELA DE SANTANA";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;4
"430470 CARAZINHO";-;-;-;-;-;-;-;-;-;1;2;6;7;13;5;5;3;2;2;-;46
"430471 CARAA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430485 CARLOS GOMES";-;-;-;-;-;-;-;-;-;-;-;1;-;5;7;7;4;3;-;-;27
"430500 CATUIPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;3
"430510 CAXIAS DO SUL";2;-;-;1;-;-;-;2;3;4;8;5;4;5;4;6;3;5;1;1;54
"430511 CENTENARIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"430520 CERRO LARGO";-;-;1;1;1;2;-;1;1;1;-;-;-;1;1;-;1;-;-;-;11
"430530 CHAPADA";-;-;-;-;-;-;-;-;-;-;-;3;4;9;10;5;1;2;5;-;39
"430535 CHARQUEADAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;2;5;-;12
"430537 CHARRUA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"430540 CHIAPETTA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430545 CIDREIRA";-;-;-;-;-;-;-;-;2;-;1;-;1;4;2;7;-;-;-;-;17
"430558 COLINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430570 CONDOR";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"430580 CONSTANTINA";3;1;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;8
"430590 CORONEL BICACO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"430595 COTIPORA";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"430597 COXILHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"430610 CRUZ ALTA";-;1;-;-;2;-;1;-;-;-;-;1;3;2;3;11;6;4;-;1;35
"430620 CRUZEIRO DO SUL";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;4
"430640 DOIS IRMAOS";-;-;-;-;-;1;-;-;-;2;1;-;-;1;1;-;1;2;1;-;10
"430660 DOM PEDRITO";-;1;-;-;1;-;-;-;-;2;-;1;1;-;-;1;-;-;-;-;7
"430673 DOUTOR MAURICIO CARDOSO";-;-;-;-;1;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;5
"430676 ELDORADO DO SUL";-;-;-;-;-;-;-;-;-;1;3;-;-;5;-;-;1;-;1;-;11
"430680 ENCANTADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"430690 ENCRUZILHADA DO SUL";-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;1;-;5
"430693 ENTRE-IJUIS";-;-;-;-;-;1;-;1;1;-;-;-;-;1;5;2;1;4;11;5;32
"430695 ENTRE RIOS DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"430700 ERECHIM";-;-;-;-;-;-;-;-;-;-;5;7;22;30;17;20;23;3;-;1;128
"430705 ERNESTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"430730 ERVAL SECO";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;-;1;-;6
"430745 ESPERANCA DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"430750 ESPUMOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"430760 ESTANCIA VELHA";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;4;3;9;1;24
"430770 ESTEIO";-;-;-;-;-;-;-;-;-;-;1;4;-;6;6;12;9;14;5;1;58
"430780 ESTRELA";-;-;-;-;-;-;-;1;1;2;5;8;16;29;26;19;23;17;9;4;160
"430790 FARROUPILHA";-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;5
"430800 FAXINAL DO SOTURNO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"430807 FAZENDA VILANOVA";-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;2;-;-;-;7
"430830 FONTOURA XAVIER";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430843 FORQUETINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"430845 FORTALEZA DOS VALOS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430850 FREDERICO WESTPHALEN";-;-;-;-;-;-;1;-;-;-;-;3;3;-;1;-;1;-;1;-;10
"430860 GARIBALDI";1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"430880 GENERAL CAMARA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"430890 GETULIO VARGAS";-;-;-;-;-;-;-;-;2;6;6;8;7;8;17;12;4;1;2;-;73
"430900 GIRUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;2;-;10
"430905 GLORINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"430910 GRAMADO";1;1;2;2;1;-;1;-;-;2;2;1;3;2;6;3;7;2;1;1;38
"430920 GRAVATAI";-;1;2;1;2;-;1;2;5;3;9;9;25;47;58;76;95;93;41;5;475
"430930 GUAIBA";-;1;-;1;-;-;-;2;-;-;-;1;2;1;4;3;6;4;2;-;27
"430940 GUAPORE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;1;4;-;-;9
"430950 GUARANI DAS MISSOES";-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3
"430955 HARMONIA";-;-;-;-;-;-;-;1;-;-;1;2;3;2;3;1;-;1;1;-;15
"430960 HORIZONTINA";-;1;-;-;-;1;1;-;1;-;1;-;-;-;1;1;2;-;-;-;9
"430965 HULHA NEGRA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
