Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Sudeste	Rio De Janeiro	2024/40	359
Sudeste	Rio De Janeiro	2024/41	355
Sudeste	Rio De Janeiro	2024/42	328
Sudeste	Rio De Janeiro	2024/43	398
Sudeste	Rio De Janeiro	2024/44	377
Sudeste	Rio De Janeiro	2024/45	416
Sudeste	Rio De Janeiro	2024/46	329
Sudeste	Rio De Janeiro	2024/47	299
Sudeste	Rio De Janeiro	2024/48	374
Sudeste	Rio De Janeiro	2024/49	380
Sudeste	Rio De Janeiro	2024/50	407
Sudeste	Rio De Janeiro	2024/51	292
Sudeste	Rio De Janeiro	2024/52	151
Sudeste	Rio De Janeiro	2025/01	557
Sudeste	Rio De Janeiro	2025/02	699
Sudeste	Rio De Janeiro	2025/03	737
Sudeste	Rio De Janeiro	2025/04	930
Sudeste	Rio De Janeiro	2025/05	1.225
Sudeste	Rio De Janeiro	2025/06	1.774
Sudeste	Rio De Janeiro	2025/07	2.090
Sudeste	Rio De Janeiro	2025/08	1.737
Sudeste	Rio De Janeiro	2025/09	1.199
Sudeste	Rio De Janeiro	2025/10	1.326
Sudeste	Rio De Janeiro	2025/11	1.355
Sudeste	Rio De Janeiro	2025/12	1.407
Sudeste	Rio De Janeiro	2025/13	1.422
Sudeste	Rio De Janeiro	2025/14	1.477
Sudeste	Rio De Janeiro	2025/15	1.505
Sudeste	Rio De Janeiro	2025/16	1.203
Sudeste	Rio De Janeiro	2025/17	1.334
Sudeste	Rio De Janeiro	2025/18	1.205
Sudeste	Rio De Janeiro	2025/19	1.324
Sudeste	Rio De Janeiro	2025/20	1.207
Sudeste	Minas Gerais	2024/01	16.964
Sudeste	Minas Gerais	2024/02	21.901
Sudeste	Minas Gerais	2024/03	33.499
Sudeste	Minas Gerais	2024/04	50.520
Sudeste	Minas Gerais	2024/05	69.595
Sudeste	Minas Gerais	2024/06	83.710
Sudeste	Minas Gerais	2024/07	96.798
Sudeste	Minas Gerais	2024/08	120.058
Sudeste	Minas Gerais	2024/09	126.397
Sudeste	Minas Gerais	2024/10	127.009
Sudeste	Minas Gerais	2024/11	128.150
Sudeste	Minas Gerais	2024/12	130.964
Sudeste	Minas Gerais	2024/13	99.486
Sudeste	Minas Gerais	2024/14	102.507
Sudeste	Minas Gerais	2024/15	93.993
Sudeste	Minas Gerais	2024/16	73.924
Sudeste	Minas Gerais	2024/17	58.601
Sudeste	Minas Gerais	2024/18	53.564
Sudeste	Minas Gerais	2024/19	44.405
Sudeste	Minas Gerais	2024/20	34.325
Sudeste	Minas Gerais	2024/21	25.889
Sudeste	Minas Gerais	2024/22	15.098
Sudeste	Minas Gerais	2024/23	10.355
Sudeste	Minas Gerais	2024/24	7.541
Sudeste	Minas Gerais	2024/25	5.293
Sudeste	Minas Gerais	2024/26	3.739
Sudeste	Minas Gerais	2024/27	2.813
Sudeste	Minas Gerais	2024/28	1.969
Sudeste	Minas Gerais	2024/29	1.606
Sudeste	Minas Gerais	2024/30	1.094
Sudeste	Minas Gerais	2024/31	1.021
Sudeste	Minas Gerais	2024/32	848
Sudeste	Minas Gerais	2024/33	801
Sudeste	Minas Gerais	2024/34	914
Sudeste	Minas Gerais	2024/35	714
Sudeste	Minas Gerais	2024/36	819
Sudeste	Minas Gerais	2024/37	781
Sudeste	Minas Gerais	2024/38	873
Sudeste	Minas Gerais	2024/39	855
Sudeste	Minas Gerais	2024/40	891
Sudeste	Minas Gerais	2024/41	849
Sudeste	Minas Gerais	2024/42	846
Sudeste	Minas Gerais	2024/43	1.016
Sudeste	Minas Gerais	2024/44	1.119
Sudeste	Minas Gerais	2024/45	1.345
Sudeste	Minas Gerais	2024/46	1.527
Sudeste	Minas Gerais	2024/47	1.990
Sudeste	Minas Gerais	2024/48	2.221
Sudeste	Minas Gerais	2024/49	2.462
Sudeste	Minas Gerais	2024/50	2.603
Sudeste	Minas Gerais	2024/51	2.229
Sudeste	Minas Gerais	2024/52	1.005
Sudeste	Minas Gerais	2025/01	2.631
Sudeste	Minas Gerais	2025/02	3.697
Sudeste	Minas Gerais	2025/03	4.901
Sudeste	Minas Gerais	2025/04	6.273
Sudeste	Minas Gerais	2025/05	6.681
Sudeste	Minas Gerais	2025/06	7.416
Sudeste	Minas Gerais	2025/07	8.294
Sudeste	Minas Gerais	2025/08	9.198
Sudeste	Minas Gerais	2025/09	7.743
Sudeste	Minas Gerais	2025/10	8.093
Sudeste	Minas Gerais	2025/11	9.413
Sudeste	Minas Gerais	2025/12	9.557
Sudeste	Minas Gerais	2025/13	9.550
Sudeste	Minas Gerais	2025/14	9.406
Sudeste	Minas Gerais	2025/15	8.694
Sudeste	Minas Gerais	2025/16	7.364
Sudeste	Minas Gerais	2025/17	9.019
Sudeste	Minas Gerais	2025/18	7.718
Sudeste	Minas Gerais	2025/19	7.104
Sudeste	Minas Gerais	2025/20	4.331
Sudeste	Espirito Santo	2024/01	1.146
Sudeste	Espirito Santo	2024/02	1.415
Sudeste	Espirito Santo	2024/03	2.007
Sudeste	Espirito Santo	2024/04	2.466
Sudeste	Espirito Santo	2024/05	3.459
Sudeste	Espirito Santo	2024/06	4.304
Sudeste	Espirito Santo	2024/07	6.142
Sudeste	Espirito Santo	2024/08	8.514
Sudeste	Espirito Santo	2024/09	10.626
Sudeste	Espirito Santo	2024/10	11.199
Sudeste	Espirito Santo	2024/11	11.689
Sudeste	Espirito Santo	2024/12	10.721
Sudeste	Espirito Santo	2024/13	8.309
Sudeste	Espirito Santo	2024/14	8.590
Sudeste	Espirito Santo	2024/15	7.228
Sudeste	Espirito Santo	2024/16	6.557
Sudeste	Espirito Santo	2024/17	5.359
Sudeste	Espirito Santo	2024/18	4.566
Sudeste	Espirito Santo	2024/19	4.656
Sudeste	Espirito Santo	2024/20	4.067
Sudeste	Espirito Santo	2024/21	3.238
Sudeste	Espirito Santo	2024/22	2.179
Sudeste	Espirito Santo	2024/23	1.722
Sudeste	Espirito Santo	2024/24	1.954
Sudeste	Espirito Santo	2024/25	1.694
Sudeste	Espirito Santo	2024/26	1.440
Sudeste	Espirito Santo	2024/27	1.258
Sudeste	Espirito Santo	2024/28	979
Sudeste	Espirito Santo	2024/29	890
Sudeste	Espirito Santo	2024/30	811
Sudeste	Espirito Santo	2024/31	668
Sudeste	Espirito Santo	2024/32	604
Sudeste	Espirito Santo	2024/33	547
Sudeste	Espirito Santo	2024/34	542
Sudeste	Espirito Santo	2024/35	499
Sudeste	Espirito Santo	2024/36	505
Sudeste	Espirito Santo	2024/37	435
Sudeste	Espirito Santo	2024/38	456
Sudeste	Espirito Santo	2024/39	470
Sudeste	Espirito Santo	2024/40	509
Sudeste	Espirito Santo	2024/41	442
Sudeste	Espirito Santo	2024/42	581
Sudeste	Espirito Santo	2024/43	663
Sudeste	Espirito Santo	2024/44	610
Sudeste	Espirito Santo	2024/45	811
Sudeste	Espirito Santo	2024/46	855
Sudeste	Espirito Santo	2024/47	1.210
Sudeste	Espirito Santo	2024/48	1.418
Sudeste	Espirito Santo	2024/49	1.630
Sudeste	Espirito Santo	2024/50	1.833
Sudeste	Espirito Santo	2024/51	2.153
Sudeste	Espirito Santo	2024/52	1.894
Sudeste	Espirito Santo	2025/01	1.699
Sudeste	Espirito Santo	2025/02	1.874
Sudeste	Espirito Santo	2025/03	1.928
Sudeste	Espirito Santo	2025/04	2.016
Sudeste	Espirito Santo	2025/05	1.914
Sudeste	Espirito Santo	2025/06	1.514
Sudeste	Espirito Santo	2025/07	1.302
Sudeste	Espirito Santo	2025/08	1.410
Sudeste	Espirito Santo	2025/09	963
Sudeste	Espirito Santo	2025/10	858
Sudeste	Espirito Santo	2025/11	958
Sudeste	Espirito Santo	2025/12	948
Sudeste	Espirito Santo	2025/13	906
Sudeste	Espirito Santo	2025/14	895
Sudeste	Espirito Santo	2025/15	899
Sudeste	Espirito Santo	2025/16	953
Sudeste	Espirito Santo	2025/17	1.058
Sudeste	Espirito Santo	2025/18	894
Sudeste	Espirito Santo	2025/19	1.172
Sudeste	Espirito Santo	2025/20	1.246
Norte	Tocantins	2024/01	33
Norte	Tocantins	2024/02	49
Norte	Tocantins	2024/03	55
Norte	Tocantins	2024/04	57
Norte	Tocantins	2024/05	100
Norte	Tocantins	2024/06	106
Norte	Tocantins	2024/07	112
Norte	Tocantins	2024/08	144
Norte	Tocantins	2024/09	210
Norte	Tocantins	2024/10	226
Norte	Tocantins	2024/11	234
Norte	Tocantins	2024/12	265
Norte	Tocantins	2024/13	230
Norte	Tocantins	2024/14	241
Norte	Tocantins	2024/15	297
Norte	Tocantins	2024/16	313
Norte	Tocantins	2024/17	245
Norte	Tocantins	2024/18	216
Norte	Tocantins	2024/19	184
Norte	Tocantins	2024/20	186
Norte	Tocantins	2024/21	147
Norte	Tocantins	2024/22	119
Norte	Tocantins	2024/23	70
Norte	Tocantins	2024/24	59
Norte	Tocantins	2024/25	51
Norte	Tocantins	2024/26	39
Norte	Tocantins	2024/27	32
Norte	Tocantins	2024/28	12
Norte	Tocantins	2024/29	13
Norte	Tocantins	2024/30	9
Norte	Tocantins	2024/31	17
Norte	Tocantins	2024/32	8
Norte	Tocantins	2024/33	9
Norte	Tocantins	2024/34	7
Norte	Tocantins	2024/35	13
Norte	Tocantins	2024/36	6
Norte	Tocantins	2024/37	12
Norte	Tocantins	2024/38	13
Norte	Tocantins	2024/39	4
Norte	Tocantins	2024/40	5
Norte	Tocantins	2024/41	6
Norte	Tocantins	2024/42	7
Norte	Tocantins	2024/43	12
Norte	Tocantins	2024/44	6
Norte	Tocantins	2024/45	14
Norte	Tocantins	2024/46	9
Norte	Tocantins	2024/47	21
Norte	Tocantins	2024/48	16
Norte	Tocantins	2024/49	19
Norte	Tocantins	2024/50	23
Norte	Tocantins	2024/51	18
Norte	Tocantins	2024/52	5
Norte	Tocantins	2025/01	30
Norte	Tocantins	2025/02	60
Norte	Tocantins	2025/03	59
Norte	Tocantins	2025/04	95
Norte	Tocantins	2025/05	79
Norte	Tocantins	2025/06	88
Norte	Tocantins	2025/07	154
Norte	Tocantins	2025/08	130
Norte	Tocantins	2025/09	91
Norte	Tocantins	2025/10	95
Norte	Tocantins	2025/11	99
Norte	Tocantins	2025/12	105
Norte	Tocantins	2025/13	88
Norte	Tocantins	2025/14	153
Norte	Tocantins	2025/15	161
Norte	Tocantins	2025/16	238
Norte	Tocantins	2025/17	292
Norte	Tocantins	2025/18	341
Norte	Tocantins	2025/19	343
Norte	Tocantins	2025/20	425
Norte	Roraima	2024/01	3
Norte	Roraima	2024/02	6
Norte	Roraima	2024/03	5
Norte	Roraima	2024/04	15
Norte	Roraima	2024/05	7
Norte	Roraima	2024/06	6
Norte	Roraima	2024/07	22
Norte	Roraima	2024/08	16
Norte	Roraima	2024/09	7
Norte	Roraima	2024/10	15
Norte	Roraima	2024/11	18
Norte	Roraima	2024/12	9
Norte	Roraima	2024/13	6
Norte	Roraima	2024/14	12
Norte	Roraima	2024/15	6
Norte	Roraima	2024/16	14
Norte	Roraima	2024/17	10
Norte	Roraima	2024/18	9
Norte	Roraima	2024/19	11
Norte	Roraima	2024/20	22
Norte	Roraima	2024/21	35
Norte	Roraima	2024/22	33
Norte	Roraima	2024/23	37
Norte	Roraima	2024/24	46
Norte	Roraima	2024/25	31
Norte	Roraima	2024/26	29
Norte	Roraima	2024/27	23
Norte	Roraima	2024/28	25
Norte	Roraima	2024/29	14
Norte	Roraima	2024/30	17
Norte	Roraima	2024/31	13
Norte	Roraima	2024/32	28
Norte	Roraima	2024/33	17
Norte	Roraima	2024/34	12
Norte	Roraima	2024/35	21
Norte	Roraima	2024/36	10
Norte	Roraima	2024/37	8
Norte	Roraima	2024/38	9
Norte	Roraima	2024/39	14
Norte	Roraima	2024/40	9
Norte	Roraima	2024/41	13
Norte	Roraima	2024/42	4
Norte	Roraima	2024/43	4
Norte	Roraima	2024/44	6
Norte	Roraima	2024/45	7
Norte	Roraima	2024/46	4
Norte	Roraima	2024/47	2
Norte	Roraima	2024/48	4
Norte	Roraima	2024/49	4
Norte	Roraima	2024/50	4
Norte	Roraima	2024/51	3
Norte	Roraima	2024/52	1
Norte	Roraima	2025/01	4
Norte	Roraima	2025/02	5
Norte	Roraima	2025/03	6
Norte	Roraima	2025/04	5
Norte	Roraima	2025/05	10
Norte	Roraima	2025/06	6
Norte	Roraima	2025/07	12
Norte	Roraima	2025/08	5
Norte	Roraima	2025/09	11
Norte	Roraima	2025/10	10
Norte	Roraima	2025/11	12
Norte	Roraima	2025/12	9
Norte	Roraima	2025/13	7
Norte	Roraima	2025/14	15
Norte	Roraima	2025/15	16
Norte	Roraima	2025/16	23
Norte	Roraima	2025/17	23
Norte	Roraima	2025/18	29
Norte	Roraima	2025/19	27
Norte	Roraima	2025/20	31
Norte	Rondonia	2024/01	89
Norte	Rondonia	2024/02	96
Norte	Rondonia	2024/03	157
Norte	Rondonia	2024/04	168
Norte	Rondonia	2024/05	184
Norte	Rondonia	2024/06	229
Norte	Rondonia	2024/07	284
Norte	Rondonia	2024/08	543
Norte	Rondonia	2024/09	544
Norte	Rondonia	2024/10	594
Norte	Rondonia	2024/11	461
Norte	Rondonia	2024/12	355
Norte	Rondonia	2024/13	159
Norte	Rondonia	2024/14	205
Norte	Rondonia	2024/15	135
Norte	Rondonia	2024/16	154
Norte	Rondonia	2024/17	129
Norte	Rondonia	2024/18	77
Norte	Rondonia	2024/19	69
Norte	Rondonia	2024/20	55
Norte	Rondonia	2024/21	31
Norte	Rondonia	2024/22	27
Norte	Rondonia	2024/23	32
Norte	Rondonia	2024/24	33
Norte	Rondonia	2024/25	34
Norte	Rondonia	2024/26	25
Norte	Rondonia	2024/27	28
Norte	Rondonia	2024/28	21
Norte	Rondonia	2024/29	21
Norte	Rondonia	2024/30	19
